symbol,name
FSC,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED
FSL,FIRSTSOURCE SOLUTIONS LIMITED
FUSION,FUSION MICRO FINANCE LIMITED
GABRIEL,GABRIEL INDIA LIMITED
GAEL,GUJARAT AMBUJA EXPORTS LIMITED
GAIL,GAIL (INDIA) LIMITED
GAL,GYSCOAL ALLOYS LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
GALLANTT,GALLANTT ISPAT LIMITED
GANDHITUBE,GANDHI SPECIAL TUBES LIMITED
GANECOS,GANESHA ECOSPHERE LIMITED
GANESHBE,GANESH BENZOPLAST LIMITED
GANESHHOUC,GANESH HOUSING CORPORATION LIMITED
GANGAFORGE,GANGA FORGING LIMITED
GANGESSECU,GANGES SECURITIES LIMITED
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED
GATEWAY,GATEWAY DISTRIPARKS LIMITED
GATI,GATI LIMITED
GAYAHWS,GAYATRI HIGHWAYS LIMITED
GAYAPROJ,GAYATRI PROJECTS LIMITED
GEECEE,GEECEE VENTURES LIMITED
GEEKAYWIRE,GEEKAY WIRES LIMITED
GENCON,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED
GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED
GENUSPAPER,GENUS PAPER & BOARDS LIMITED
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED
GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED
GEPIL,GE POWER INDIA LIMITED
GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED
GET&D,GE T&D INDIA LIMITED
GFLLIMITED,GFL LIMITED
GHCL,GHCL LIMITED
GICHSGFIN,GIC HOUSING FINANCE LIMITED
GICRE,GENERAL INSURANCE CORPORATION OF INDIA
GILLANDERS,GILLANDERS ARBUTHNOT & COMPANY LIMITED
GILLETTE,GILLETTE INDIA LIMITED
GINNIFILA,GINNI FILAMENTS LIMITED
GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED
GISOLUTION,GI ENGINEERING SOLUTIONS LIMITED
GKWLIMITED,GKW LIMITED
GLAND,GLAND PHARMA LIMITED
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED
GLFL,GUJARAT LEASE FINANCING LIMITED
GLOBAL,GLOBAL EDUCATION LIMITED
GLOBALVECT,GLOBAL VECTRA HELICORP LIMITED
GLOBE,GLOBE TEXTILES (INDIA) LIMITED
GLOBUSSPR,GLOBUS SPIRITS LIMITED
GLS,GLENMARK LIFE SCIENCES LIMITED
GMBREW,GM BREWERIES LIMITED
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED
GMMPFAUDLR,GMM PFAUDLER LIMITED
GMRINFRA,GMR AIRPORTS INFRASTRUCTURE LIMITED
GMRP&UI,GMR POWER AND URBAN INFRA LIMITED
GNA,GNA AXLES LIMITED
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
GOACARBON,GOA CARBON LIMITED
GOCLCORP,GOCL CORPORATION LIMITED
GOCOLORS,GO FASHION (INDIA) LIMITED
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED
GODHA,GODHA CABCON & INSULATION LIMITED
GODREJAGRO,GODREJ AGROVET LIMITED
GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED
GODREJIND,GODREJ INDUSTRIES LIMITED
GODREJPROP,GODREJ PROPERTIES LIMITED
GOENKA,GOENKA DIAMOND AND JEWELS LIMITED
GOKEX,GOKALDAS EXPORTS LIMITED
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED
GOKUL-RE,GOKUL AGRO RES LTD-RE
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED
GOLDENTOBC,GOLDEN TOBACCO LIMITED
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED
GOLDTECH,GOLDSTONE TECHNOLOGIES LIMITED
GOODLUCK,GOODLUCK INDIA LIMITED
GOODYEAR,GOODYEAR INDIA LIMITED
GOYALALUM,GOYAL ALUMINIUMS LIMITED
GPIL,GODAWARI POWER AND ISPAT LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
GPTINFRA,GPT INFRAPROJECTS LIMITED
GRANULES,GRANULES INDIA LIMITED
GRAPHITE,GRAPHITE INDIA LIMITED
GRASIM,GRASIM INDUSTRIES LIMITED
GRAUWEIL,GRAUER & WEIL (INDIA) LIMITED
GRAVITA,GRAVITA INDIA LIMITED
GREAVESCOT,GREAVES COTTON LIMITED
GREENLAM,GREENLAM INDUSTRIES LIMITED
GREENPANEL,GREENPANEL INDUSTRIES LIMITED
GREENPLY,GREENPLY INDUSTRIES LIMITED
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED
GRINDWELL,GRINDWELL NORTON LIMITED
GRINFRA,G R INFRAPROJECTS LIMITED
GRMOVER,GRM OVERSEAS LIMITED
GROBTEA,THE GROB TEA COMPANY LIMITED
GRPLTD,GRP LIMITED
GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED
GSCLCEMENT,GUJARAT SIDHEE CEMENT LIMITED
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED
GSPL,GUJARAT STATE PETRONET LIMITED
GSS,GSS INFOTECH LIMITED
GTL,GTL LIMITED
GTLINFRA,GTL INFRASTRUCTURE LIMITED
GTPL,GTPL HATHWAY LIMITED
GUFICBIO,GUFIC BIOSCIENCES LIMITED
GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LIMITED
GUJGASLTD,GUJARAT GAS LIMITED
GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LIMITED
GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED
GULFPETRO,GP PETROLEUMS LIMITED
GULPOLY,GULSHAN POLYOLS LIMITED
GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED
HAL,HINDUSTAN AERONAUTICS LIMITED
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED
HARDWYN,HARDWYN INDIA LIMITED
HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED
HARRMALAYA,HARRISONS  MALAYALAM LIMITED
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED
HATHWAY,HATHWAY CABLE & DATACOM LIMITED
HATSUN,HATSUN AGRO PRODUCT LIMITED
HAVELLS,HAVELLS INDIA LIMITED
HAVISHA,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED
HBLPOWER,HBL POWER SYSTEMS LIMITED
HBSL,HB STOCKHOLDINGS LIMITED
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED
HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED
HCL-INSYS,HCL INFOSYSTEMS LIMITED
HCLTECH,HCL TECHNOLOGIES LIMITED
HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED
HDFCBANK,HDFC BANK LIMITED
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED
HDIL,HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED
HEADSUP,HEADS UP VENTURES LIMITED
HECPROJECT,HEC INFRA PROJECTS LIMITED
HEG,HEG LIMITED
HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED
HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED
HERANBA,HERANBA INDUSTRIES LIMITED
HERCULES,HERCULES HOISTS LIMITED
HERITGFOOD,HERITAGE FOODS LIMITED
HEROMOTOCO,HERO MOTOCORP LIMITED
HESTERBIO,HESTER BIOSCIENCES LIMITED
HEUBACHIND,HEUBACH COLORANTS INDIA LIMITED
HEXATRADEX,HEXA TRADEX LIMITED
HFCL,HFCL LIMITED
HGINFRA,H.G. INFRA ENGINEERING LIMITED
HGS,HINDUJA GLOBAL SOLUTIONS LIMITED
HIKAL,HIKAL LIMITED
HIL,HIL LIMITED
HILTON,HILTON METAL FORGING LIMITED
HIMATSEIDE,HIMATSINGKA SEIDE LIMITED
HINDALCO,HINDALCO INDUSTRIES LIMITED
HINDCOMPOS,HINDUSTAN COMPOSITES LIMITED
HINDCON,HINDCON CHEMICALS LIMITED
HINDCOPPER,HINDUSTAN COPPER LIMITED
HINDMOTORS,HINDUSTAN MOTORS LIMITED
HINDOILEXP,HINDUSTAN OIL EXPLORATION COMPANY LIMITED
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED
HINDUNILVR,HINDUSTAN UNILEVER LIMITED
HINDWAREAP,HINDWARE HOME INNOVATION LIMITED
HINDZINC,HINDUSTAN ZINC LIMITED
HIRECT,HIND RECTIFIERS LIMITED
HISARMETAL,HISAR METAL INDUSTRIES LIMITED
HITECH,HI-TECH PIPES LIMITED
HITECHCORP,HITECH CORPORATION LIMITED
HITECHGEAR,THE HI-TECH GEARS LIMITED
HLEGLAS,HLE GLASCOAT LIMITED
HLVLTD,HLV LIMITED
HMT,HMT LIMITED
HMVL,HINDUSTAN MEDIA VENTURES LIMITED
HNDFDS,HINDUSTAN FOODS LIMITED
HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED
HONAUT,HONEYWELL AUTOMATION INDIA LIMITED
HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED
HOVS,HOV SERVICES LIMITED
HPAL,HP ADHESIVES LIMITED
HPIL,HINDPRAKASH INDUSTRIES LIMITED
HPL,HPL ELECTRIC & POWER LIMITED
HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED
HTMEDIA,HT MEDIA LIMITED
HUBTOWN,HUBTOWN LIMITED
HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED
HUHTAMAKI,HUHTAMAKI INDIA LIMITED
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED
IBREALEST,INDIABULLS REAL ESTATE LIMITED
IBULHSGFIN,INDIABULLS HOUSING FINANCE LIMITED
ICDSLTD,ICDS LIMITED
ICEMAKE,ICE MAKE REFRIGERATION LIMITED
ICICIBANK,ICICI BANK LIMITED
ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED
ICIL,INDO COUNT INDUSTRIES LIMITED
ICRA,ICRA LIMITED
IDBI,IDBI BANK LIMITED
IDEA,VODAFONE IDEA LIMITED
IDFC,IDFC LIMITED
IDFCFIRSTB,IDFC FIRST BANK LIMITED
IEL,INDIABULLS ENTERPRISES LIMITED
IEX,INDIAN ENERGY EXCHANGE LIMITED
IFBAGRO,IFB AGRO INDUSTRIES LIMITED
IFBIND,IFB INDUSTRIES LIMITED
IFCI,IFCI LIMITED
IFGLEXPOR,IFGL REFRACTORIES LIMITED
IGARASHI,IGARASHI MOTORS INDIA LIMITED
IGL,INDRAPRASTHA GAS LIMITED
IGPL,IG PETROCHEMICALS LIMITED
IIFL,IIFL FINANCE LIMITED
IIFLSEC,IIFL SECURITIES LIMITED
IITL,INDUSTRIAL INVESTMENT TRUST LIMITED
IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED
IL&FSTRANS,IL&FS TRANSPORTATION NETWORKS LIMITED
IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED
IMFA,INDIAN METALS & FERRO ALLOYS LIMITED
IMPAL,INDIA MOTOR PARTS AND ACCESSORIES LIMITED
IMPEXFERRO,IMPEX FERRO TECH LIMITED
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
INDBANK,INDBANK MERCHANT BANKING SERVICES LIMITED
INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED
INDIACEM,THE INDIA CEMENTS LIMITED
INDIAGLYCO,INDIA GLYCOLS LIMITED
INDIAMART,INDIAMART INTERMESH LIMITED
INDIANB,INDIAN BANK
INDIANCARD,INDIAN CARD CLOTHING COMPANY LIMITED
INDIANHUME,INDIAN HUME PIPE COMPANY LIMITED
INDIGO,INTERGLOBE AVIATION LIMITED
INDIGOPNTS,INDIGO PAINTS LIMITED
INDLMETER,IMP POWERS LIMITED
INDNIPPON,INDIA NIPPON ELECTRICALS LIMITED
INDOAMIN,INDO AMINES LIMITED
INDOBORAX,INDO BORAX & CHEMICALS LIMITED
INDOCO,INDOCO REMEDIES LIMITED
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED
INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED
INDOTECH,INDO TECH TRANSFORMERS LIMITED
INDOTHAI,INDO THAI SECURITIES LIMITED
INDOWIND,INDOWIND ENERGY LIMITED
INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LIMITED
INDSWFTLAB,IND-SWIFT LABORATORIES LIMITED
INDSWFTLTD,IND-SWIFT LIMITED
INDTERRAIN,INDIAN TERRAIN FASHIONS LIMITED
INDUSINDBK,INDUSIND BANK LIMITED
INDUSTOWER,INDUS TOWERS LIMITED
INFIBEAM,INFIBEAM AVENUES LIMITED
INFOBEAN,INFOBEANS TECHNOLOGIES LIMITED
INFOMEDIA,INFOMEDIA PRESS LIMITED
INFY,INFOSYS LIMITED
INGERRAND,INGERSOLL RAND (INDIA) LIMITED
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED
INOXWIND,INOX WIND LIMITED
INSECTICID,INSECTICIDES (INDIA) LIMITED
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED
INTELLECT,INTELLECT DESIGN ARENA LIMITED
INTENTECH,INTENSE TECHNOLOGIES LIMITED
INTLCONV,INTERNATIONAL CONVEYORS LIMITED
INVENTURE,INVENTURE GROWTH & SECURITIES LIMITED
IOB,INDIAN OVERSEAS BANK
IOC,INDIAN OIL CORPORATION LIMITED
IOLCP,IOL CHEMICALS AND PHARMACEUTICALS LIMITED
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED
IPCALAB,IPCA LABORATORIES LIMITED
IPL,INDIA PESTICIDES LIMITED
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED
IRCON,IRCON INTERNATIONAL LIMITED
IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED
IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED
IRIS,IRIS BUSINESS SERVICES LIMITED
IRISDOREME,IRIS CLOTHINGS LIMITED
ISEC,ICICI SECURITIES LIMITED
ISFT,INTRASOFT TECHNOLOGIES LIMITED
ISGEC,ISGEC HEAVY ENGINEERING LIMITED
ISMTLTD,ISMT LIMITED
ITC,ITC LIMITED
ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED
ITDCEM,ITD CEMENTATION INDIA LIMITED
ITI,ITI LIMITED
IVC,IL&FS INVESTMENT MANAGERS LIMITED
IVP,IVP LIMITED
IWEL,INOX WIND ENERGY LIMITED
IZMO,IZMO LIMITED
J&KBANK,THE JAMMU & KASHMIR BANK LIMITED
JAGRAN,JAGRAN PRAKASHAN LIMITED
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LIMITED
JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED
JAICORPLTD,JAI CORP LIMITED
JAIPURKURT,NANDANI CREATION LIMITED
JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED
JASH,JASH ENGINEERING LIMITED
JAYAGROGN,JAYANT AGRO ORGANICS LIMITED
JAYBARMARU,JAY BHARAT MARUTI LIMITED
JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED
JAYSREETEA,JAYSHREE TEA & INDUSTRIES LIMITED
JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED
JBMA,JBM AUTO LIMITED
JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED
JETAIRWAYS,JET AIRWAYS (INDIA) LIMITED
JETFREIGHT,JET FREIGHT LOGISTICS LIMITED
JHS,JHS SVENDGAARD LABORATORIES LIMITED
JINDALPHOT,JINDAL PHOTO LIMITED
JINDALPOLY,JINDAL POLY FILMS LIMITED
JINDALSAW,JINDAL SAW LIMITED
JINDALSTEL,JINDAL STEEL & POWER LIMITED
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED
JINDWORLD,JINDAL WORLDWIDE LIMITED
JISLDVREQS,JAIN IRRIGATION SYSTEMS LIMITED
JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED
JITFINFRA,JITF INFRALOGISTICS LIMITED
JKCEMENT,JK CEMENT LIMITED
JKIL,J.KUMAR INFRAPROJECTS LIMITED
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED
JKPAPER,JK PAPER LIMITED
JKTYRE,JK TYRE & INDUSTRIES LIMITED
JMA,JULLUNDUR MOTOR AGENCY (DELHI) LIMITED
JMFINANCIL,JM FINANCIAL LIMITED
JOCIL,JOCIL LIMITED
JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED
JPOLYINVST,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED
JSL,JINDAL STAINLESS LIMITED
JSWENERGY,JSW ENERGY LIMITED
JSWHL,JSW HOLDINGS LIMITED
JSWISPL,JSW ISPAT SPECIAL PRODUCTS LIMITED
JSWSTEEL,JSW STEEL LIMITED
JTEKTINDIA,JTEKT INDIA LIMITED
JTLIND,JTL INDUSTRIES LIMITED
JUBLFOOD,JUBILANT FOODWORKS LIMITED
JUBLINDS,JUBILANT INDUSTRIES LIMITED
JUBLINGREA,JUBILANT INGREVIA LIMITED
JUBLPHARMA,JUBILANT PHARMOVA LIMITED
JUSTDIAL,JUST DIAL LIMITED
JWL,JUPITER WAGONS LIMITED
JYOTHYLAB,JYOTHY LABS LIMITED
JYOTISTRUC,JYOTI STRUCTURES LIMITED
KABRAEXTRU,KABRA EXTRUSION TECHNIK LIMITED
KAJARIACER,KAJARIA CERAMICS LIMITED
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LIMITED
KALPATPOWR,KALPATARU POWER TRANSMISSION LIMITED
KALYANI,KALYANI COMMERCIALS LIMITED
KALYANIFRG,KALYANI FORGE LIMITED
KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED
KAMATHOTEL,KAMAT HOTELS (I) LIMITED
KAMDHENU,KAMDHENU LIMITED
KAMOPAINTS,KAMDHENU VENTURES LIMITED
KANANIIND,KANANI INDUSTRIES LIMITED
KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LIMITED
KANPRPLA,KANPUR PLASTIPACK LIMITED
KANSAINER,KANSAI NEROLAC PAINTS LIMITED
KAPSTON,KAPSTON SERVICES LIMITED
KARMAENG,KARMA ENERGY LIMITED
KARURVYSYA,KARUR VYSYA BANK LIMITED
KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED
KAVVERITEL,KAVVERI TELECOM PRODUCTS LIMITED
KAYA,KAYA LIMITED
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED
KBCGLOBAL,KBC GLOBAL LIMITED
KCP,KCP LIMITED
KCPSUGIND,KCP SUGAR AND INDUSTRIES CORPORATION LIMITED
KDDL,KDDL LIMITED
KEC,KEC INTERNATIONAL LIMITED
KECL,KIRLOSKAR ELECTRIC COMPANY LIMITED
KEEPLEARN,DSJ KEEP LEARNING LIMITED
KEI,KEI INDUSTRIES LIMITED
KELLTONTEC,KELLTON TECH SOLUTIONS LIMITED
KENNAMET,KENNAMETAL INDIA LIMITED
KERNEX,KERNEX MICROSYSTEMS (INDIA) LIMITED
KESORAMIND,KESORAM INDUSTRIES LIMITED
KEYFINSERV,KEYNOTE FINANCIAL SERVICES LIMITED
KFINTECH,KFIN TECHNOLOGIES LIMITED
KHADIM,KHADIM INDIA LIMITED
KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LIMITED
KHAITANLTD,KHAITAN (INDIA) LIMITED
KHANDSE,KHANDWALA SECURITIES LIMITED
KICL,KALYANI INVESTMENT COMPANY LIMITED
KILITCH,KILITCH DRUGS (INDIA) LIMITED
KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED
KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED
KIOCL,KIOCL LIMITED
KIRIINDUS,KIRI INDUSTRIES LIMITED
KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD
KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED
KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED
KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED
KITEX,KITEX GARMENTS LIMITED
KKCL,KEWAL KIRAN CLOTHING LIMITED
KMSUGAR,K.M.SUGAR MILLS LIMITED
KNRCON,KNR CONSTRUCTIONS LIMITED
KOHINOOR,KOHINOOR FOODS LIMITED
KOKUYOCMLN,KOKUYO CAMLIN LIMITED
KOLTEPATIL,KOLTE - PATIL DEVELOPERS LIMITED
KOPRAN,KOPRAN LIMITED
KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
KOTARISUG,KOTHARI SUGARS AND CHEMICALS LIMITED
KOTHARIPET,KOTHARI PETROCHEMICALS LIMITED
KOTHARIPRO,KOTHARI PRODUCTS LIMITED
KOVAI,KOVAI MEDICAL CENTER AND HOSPITAL LIMITED
KPIGREEN,KPI GREEN ENERGY LIMITED
KPITTECH,KPIT TECHNOLOGIES LIMITED
KPRMILL,K.P.R. MILL LIMITED
KRBL,KRBL LIMITED
KREBSBIO,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED
KRIDHANINF,KRIDHAN INFRA LIMITED
KRISHANA,KRISHANA PHOSCHEM LIMITED
KRITI,KRITI INDUSTRIES (INDIA) LIMITED
KRITIKA,KRITIKA WIRES LIMITED
KRITINUT,KRITI NUTRIENTS LIMITED
KRSNAA,KRSNAA DIAGNOSTICS LIMITED
KSB,KSB LIMITED
KSCL,KAVERI SEED COMPANY LIMITED
KSHITIJPOL,KSHITIJ POLYLINE LIMITED
KSL,KALYANI STEELS LIMITED
KSOLVES,KSOLVES INDIA LIMITED
KTKBANK,THE KARNATAKA BANK LIMITED
KUANTUM,KUANTUM PAPERS LIMITED
L&TFH,L&T FINANCE HOLDINGS LIMITED
LAGNAM,LAGNAM SPINTEX LIMITED
LAKPRE,LAKSHMI PRECISION SCREWS LIMITED
LALPATHLAB,DR. LAL PATH LABS LTD.
LAMBODHARA,LAMBODHARA TEXTILES LIMITED
LANCER,LANCER CONTAINER LINES LIMITED
LANDMARK,LANDMARK CARS LIMITED
LAOPALA,LA OPALA RG LIMITED
LASA,LASA SUPERGENERICS LIMITED
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED
LAURUSLABS,LAURUS LABS LIMITED
LAXMICOT,LAXMI COTSPIN LIMITED
LAXMIMACH,LAKSHMI MACHINE WORKS LIMITED
LCCINFOTEC,LCC INFOTECH LIMITED
LEMONTREE,LEMON TREE HOTELS LIMITED
LEXUS,LEXUS GRANITO (INDIA) LIMITED
LFIC,LAKSHMI FINANCE & INDUSTRIAL CORPORATION LIMITED
LGBBROSLTD,LG BALAKRISHNAN & BROS LIMITED
LGBFORGE,LGB FORGE LIMITED
LIBAS,LIBAS CONSUMER PRODUCTS LIMITED
LIBERTSHOE,LIBERTY SHOES LIMITED
LICHSGFIN,LIC HOUSING FINANCE LIMITED
LICI,LIFE INSURANCE CORPORATION OF INDIA
LIKHITHA,LIKHITHA INFRASTRUCTURE LIMITED
LINC,LINC LIMITED
LINCOLN,LINCOLN PHARMACEUTICALS LIMITED
LINDEINDIA,LINDE INDIA LIMITED
LODHA,MACROTECH DEVELOPERS LIMITED
LOKESHMACH,LOKESH MACHINES LIMITED
LOTUSEYE,LOTUS EYE HOSPITAL AND INSTITUTE LIMITED
LOVABLE,LOVABLE LINGERIE LIMITED
LOYALTEX,LOYAL TEXTILE MILLS LIMITED
LPDC,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED
LSIL,LLOYDS STEELS INDUSTRIES LIMITED
LT,LARSEN & TOUBRO LIMITED
LTIM,LTIMINDTREE LIMITED
LTTS,L&T TECHNOLOGY SERVICES LIMITED
LUMAXIND,LUMAX INDUSTRIES LIMITED
LUMAXTECH,LUMAX AUTO TECHNOLOGIES LIMITED
LUPIN,LUPIN LIMITED
LUXIND,LUX INDUSTRIES LIMITED
LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED
LYKALABS,LYKA LABS LIMITED
LYPSAGEMS,LYPSA GEMS & JEWELLERY LIMITED
M&M,MAHINDRA & MAHINDRA LIMITED
M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED
MAANALU,MAAN ALUMINIUM LIMITED
MACPOWER,MACPOWER CNC MACHINES LIMITED
MADHAV,MADHAV MARBLES AND GRANITES LIMITED
MADHUCON,MADHUCON PROJECTS LIMITED
MADRASFERT,MADRAS FERTILIZERS LIMITED
MAGADSUGAR,MAGADH SUGAR & ENERGY LIMITED
MAGNUM,MAGNUM VENTURES LIMITED
MAHABANK,BANK OF MAHARASHTRA
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LIMITED
MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LIMITED
MAHEPC,MAHINDRA EPC IRRIGATION LIMITED
MAHESHWARI,MAHESHWARI LOGISTICS LIMITED
MAHINDCIE,MAHINDRA CIE AUTOMOTIVE LIMITED
MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED
MAHLOG,MAHINDRA LOGISTICS LIMITED
MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED
MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED
MAITHANALL,MAITHAN ALLOYS LIMITED
MALLCOM,MALLCOM (INDIA) LIMITED
MALUPAPER,MALU PAPER MILLS LIMITED
MANAKALUCO,MANAKSIA ALUMINIUM COMPANY LIMITED
MANAKCOAT,MANAKSIA COATED METALS & INDUSTRIES LIMITED
MANAKSIA,MANAKSIA LIMITED
MANAKSTEEL,MANAKSIA STEELS LIMITED
MANALIPETC,MANALI PETROCHEMICALS LIMITED
MANAPPURAM,MANAPPURAM FINANCE LIMITED
MANGALAM,MANGALAM DRUGS AND ORGANICS LIMITED
MANGCHEFER,MANGALORE CHEMICALS & FERTILIZERS LIMITED
MANGLMCEM,MANGALAM CEMENT LIMITED
MANINDS,MAN INDUSTRIES (INDIA) LIMITED
MANINFRA,MAN INFRACONSTRUCTION LIMITED
MANOMAY,MANOMAY TEX INDIA LIMITED
MANORAMA,MANORAMA INDUSTRIES LIMITED
MANORG,MANGALAM ORGANICS LIMITED
MANUGRAPH,MANUGRAPH INDIA LIMITED
MANYAVAR,VEDANT FASHIONS LIMITED
MAPMYINDIA,C.E. INFO SYSTEMS LIMITED
MARALOVER,MARAL OVERSEAS LIMITED
MARATHON,MARATHON NEXTGEN REALTY LIMITED
MARICO,MARICO LIMITED
MARINE,MARINE ELECTRICALS (INDIA) LIMITED
MARKSANS,MARKSANS PHARMA LIMITED
MARSHALL,MARSHALL MACHINES LIMITED
MARUTI,MARUTI SUZUKI INDIA LIMITED
MASFIN,MAS FINANCIAL SERVICES LIMITED
MASKINVEST,MASK INVESTMENTS LIMITED
MASTEK,MASTEK LIMITED
MATRIMONY,MATRIMONY.COM LIMITED
MAWANASUG,MAWANA SUGARS LIMITED
MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED
MAXIND,MAX INDIA LIMITED
MAXVIL,MAX VENTURES AND INDUSTRIES LIMITED
MAYURUNIQ,MAYUR UNIQUOTERS LTD
MAZDA,MAZDA LIMITED
